calendar_year,state,state_fips,county_eq,state_year_snap,higher_than_state_snap_counties,prop_counties_higher_snap_than_state,usa_snap,higher_than_usa_snap_counties,prop_counties_higher_snap_than_usa
2010,SD,46,55,0.08522258992988195,17,0.3090909090909091,0.0926478550596259,14,0.2545454545454545
2009,NE,31,67,0.07042327688408097,21,0.31343283582089554,0.0848498240789541,11,0.16417910447761194
2013,KS,20,56,0.09368988869277044,23,0.4107142857142857,0.124031685919521,8,0.14285714285714285
2009,KS,20,79,0.06842041741108573,35,0.4430379746835443,0.0848498240789541,21,0.26582278481012656
2010,NE,31,72,0.07512669102843471,16,0.2222222222222222,0.0926478550596259,8,0.1111111111111111
2013,ND,38,36,0.07862289831865492,15,0.4166666666666667,0.124031685919521,6,0.16666666666666666
2016,SD,46,27,0.10908267773193898,12,0.4444444444444444,0.130491352692492,7,0.25925925925925924
2017,KS,20,47,0.08621917512743517,15,0.3191489361702128,0.12648332849867,2,0.0425531914893617
2018,MN,27,31,0.08572860326156115,19,0.6129032258064516,0.12648332849867,6,0.1935483870967742
2017,NE,31,29,0.08805392802025641,5,0.1724137931034483,0.12648332849867,1,0.034482758620689655
2010,ND,38,48,0.07158349057626824,17,0.3541666666666667,0.0926478550596259,9,0.1875
2009,KY,21,108,0.13234368599745155,64,0.5925925925925926,0.0848498240789541,100,0.9259259259259259
2010,MN,27,52,0.05940936288452513,18,0.34615384615384615,0.0926478550596259,2,0.038461538461538464
2010,KS,20,41,0.07249163090284585,14,0.34146341463414637,0.0926478550596259,5,0.12195121951219512
2009,ND,38,52,0.06628454227479993,23,0.4423076923076923,0.0848498240789541,14,0.2692307692307692
2011,MN,27,47,0.06680959668427826,20,0.425531914893617,0.102470902248552,7,0.14893617021276595
2015,KS,20,44,0.09480525778825152,15,0.3409090909090909,0.131703905293167,6,0.13636363636363635
2018,KS,20,8,0.08621917512743517,1,0.125,0.12648332849867,0,0.0
2018,NE,31,40,0.08805392802025641,6,0.15,0.12648332849867,2,0.05
2014,MN,27,39,0.08775764807215115,15,0.38461538461538464,0.129844386971254,4,0.10256410256410256
2014,ND,38,10,0.07961628892473412,3,0.3,0.129844386971254,2,0.2
2013,SD,46,32,0.10765126757773817,12,0.375,0.124031685919521,11,0.34375
2014,SD,46,13,0.11081898251610359,7,0.5384615384615384,0.129844386971254,6,0.46153846153846156
2011,ND,38,49,0.07579960454876573,21,0.42857142857142855,0.102470902248552,9,0.1836734693877551
2015,LA,22,7,0.16305683310386657,5,0.7142857142857143,0.131703905293167,6,0.8571428571428571
2009,OK,40,58,0.10863448884523542,31,0.5344827586206896,0.0848498240789541,47,0.8103448275862069
2015,WV,54,39,0.16098476157054353,27,0.6923076923076923,0.131703905293167,34,0.8717948717948718
2012,AR,05,8,0.14018818264045704,1,0.125,0.114389272037594,4,0.5
2011,AR,05,60,0.13256541458516513,40,0.6666666666666666,0.102470902248552,52,0.8666666666666667
2015,AR,05,47,0.14832802442828585,31,0.6595744680851063,0.131703905293167,40,0.851063829787234
2009,AR,05,68,0.12259707020777103,48,0.7058823529411765,0.0848498240789541,61,0.8970588235294118
2012,OK,40,7,0.1294532311719929,1,0.14285714285714285,0.114389272037594,2,0.2857142857142857
2010,KY,21,85,0.13981325311264692,55,0.6470588235294118,0.0926478550596259,80,0.9411764705882353
2012,LA,22,55,0.16472924534585637,32,0.5818181818181818,0.114389272037594,50,0.9090909090909091
2009,WV,54,22,0.12756642046893232,17,0.7727272727272727,0.0848498240789541,19,0.8636363636363636
2010,OK,40,57,0.1137359719491737,27,0.47368421052631576,0.0926478550596259,36,0.631578947368421
2018,KY,21,55,0.16072586247487697,37,0.6727272727272727,0.12648332849867,46,0.8363636363636363
2011,KY,21,81,0.1485867758025323,45,0.5555555555555556,0.102470902248552,73,0.9012345679012346
2012,WV,54,49,0.14628491101075303,34,0.6938775510204082,0.114389272037594,44,0.8979591836734694
2010,WV,54,31,0.1319779071744993,11,0.3548387096774194,0.0926478550596259,24,0.7741935483870968
2011,ID,16,6,0.09707261723345213,2,0.3333333333333333,0.102470902248552,1,0.16666666666666666
2015,KY,21,84,0.1732245672956203,58,0.6904761904761905,0.131703905293167,75,0.8928571428571429
2011,LA,22,26,0.15394332387915446,16,0.6153846153846154,0.102470902248552,24,0.9230769230769231
2013,AR,05,24,0.14642792967833707,20,0.8333333333333334,0.124031685919521,22,0.9166666666666666
2015,OK,40,69,0.13881061291632568,40,0.5797101449275363,0.131703905293167,43,0.6231884057971014
2011,OK,40,34,0.12169242742028358,19,0.5588235294117647,0.102470902248552,24,0.7058823529411765
2017,AR,05,32,0.1359044915370207,21,0.65625,0.12648332849867,22,0.6875
2012,KY,21,23,0.16011848324423247,17,0.7391304347826086,0.114389272037594,21,0.9130434782608695
2016,LA,22,56,0.16297465978359685,33,0.5892857142857143,0.130491352692492,48,0.8571428571428571
2016,KY,21,20,0.16893675245908985,11,0.55,0.130491352692492,15,0.75
2017,OK,40,37,0.13428855981499976,19,0.5135135135135135,0.12648332849867,21,0.5675675675675675
2009,SD,46,29,0.07898332877835475,15,0.5172413793103449,0.0848498240789541,14,0.4827586206896552
2017,WV,54,12,0.16519152847272023,2,0.16666666666666666,0.12648332849867,10,0.8333333333333334
2018,WV,54,28,0.16519152847272023,10,0.35714285714285715,0.12648332849867,22,0.7857142857142857
2013,OK,40,40,0.13666615653831052,21,0.525,0.124031685919521,22,0.55
2016,WV,54,18,0.16404042753757453,13,0.7222222222222222,0.130491352692492,17,0.9444444444444444
2017,ID,16,25,0.11329220322955588,10,0.4,0.12648332849867,5,0.2
2016,OK,40,8,0.13661443722203215,5,0.625,0.130491352692492,5,0.625
2015,WY,56,4,0.05898662199986776,2,0.5,0.131703905293167,0,0.0
2017,LA,22,22,0.16017023039803874,12,0.5454545454545454,0.12648332849867,17,0.7727272727272727
2011,WY,56,16,0.050621960770029326,7,0.4375,0.102470902248552,1,0.0625
2009,MN,27,30,0.053037952705343956,20,0.6666666666666666,0.0848498240789541,6,0.2
2015,SD,46,14,0.11142242291254859,6,0.42857142857142855,0.131703905293167,6,0.42857142857142855
2017,WY,56,4,0.05847452842071431,2,0.5,0.12648332849867,0,0.0
2011,NE,31,29,0.07950784054279499,11,0.3793103448275862,0.102470902248552,4,0.13793103448275862
2014,NE,31,29,0.09153931034105561,5,0.1724137931034483,0.129844386971254,1,0.034482758620689655
2016,KS,20,13,0.09104025781058163,7,0.5384615384615384,0.130491352692492,1,0.07692307692307693
2011,SD,46,40,0.09257189150490162,9,0.225,0.102470902248552,8,0.2
2010,ID,16,7,0.08199437822975611,4,0.5714285714285714,0.0926478550596259,3,0.42857142857142855
2013,LA,22,11,0.1663364272782419,9,0.8181818181818182,0.124031685919521,11,1.0
2016,AR,05,12,0.14288642814591582,11,0.9166666666666666,0.130491352692492,11,0.9166666666666666
2015,ID,16,5,0.12674947396999933,1,0.2,0.131703905293167,1,0.2
2011,KS,20,29,0.07984126452381621,7,0.2413793103448276,0.102470902248552,3,0.10344827586206896
2013,MN,27,23,0.08202656375757392,9,0.391304347826087,0.124031685919521,1,0.043478260869565216
2012,MN,27,18,0.07442783229259589,10,0.5555555555555556,0.114389272037594,1,0.05555555555555555
2009,LA,22,11,0.172208523356937,5,0.45454545454545453,0.0848498240789541,11,1.0
2017,ND,38,11,0.07188829146938448,7,0.6363636363636364,0.12648332849867,3,0.2727272727272727
2015,NE,31,28,0.09046134130133462,8,0.2857142857142857,0.131703905293167,0,0.0
2013,NE,31,10,0.08901923015981272,2,0.2,0.124031685919521,1,0.1
2012,KS,20,14,0.08689542280404294,7,0.5,0.114389272037594,1,0.07142857142857142
2014,AR,05,12,0.1478744145633331,7,0.5833333333333334,0.129844386971254,9,0.75
2010,WY,56,3,0.04944691485061189,3,1.0,0.0926478550596259,1,0.3333333333333333
2016,MN,27,10,0.08866815591178799,2,0.2,0.130491352692492,0,0.0
2014,KY,21,4,0.17281515184448681,4,1.0,0.129844386971254,4,1.0
2018,OK,40,5,0.13428855981499976,1,0.2,0.12648332849867,1,0.2
2013,WV,54,2,0.1532890921107649,2,1.0,0.124031685919521,2,1.0
